nombre,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
james abankwah,DF,2004,2,1,63,0,0,0,0,0,0,0,2022-2023,serie-a
oliver abildgaard,MF,1996,13,6,592,0,0,2,0,2,15,8,2022-2023,serie-a
tammy abraham,FW,1997,38,24,2189,8,3,2,0,35,54,141,2022-2023,serie-a
christian acella,MF,2002,1,0,15,0,0,0,0,0,0,0,2022-2023,serie-a
francesco acerbi,DF,1988,31,25,2425,0,2,4,0,39,100,32,2022-2023,serie-a
yacine adli,"MF,FW",2000,6,1,144,0,0,1,0,7,10,8,2022-2023,serie-a
michel aebischer,"FW,MF",1997,32,18,1542,1,0,4,0,14,46,85,2022-2023,serie-a
felix afena-gyan,"FW,MF",2003,23,7,817,0,0,4,0,22,8,54,2022-2023,serie-a
kevin agudelo,"MF,FW",1998,34,23,2131,0,1,5,0,81,110,100,2022-2023,serie-a
ola aina,DF,1996,19,9,876,1,1,5,0,35,43,43,2022-2023,serie-a
emanuel aiwum,DF,2000,23,17,1653,0,0,3,0,19,46,7,2022-2023,serie-a
jean-daniel akpa-akpro,"MF,FW",1992,24,16,1356,1,1,9,2,19,39,37,2022-2023,serie-a
luis alberto,MF,1992,35,27,2442,6,7,4,0,73,248,94,2022-2023,serie-a
agustín álvarez,"FW,MF",2001,22,1,368,1,1,1,0,2,6,19,2022-2023,serie-a
kelvin amian,DF,1998,30,26,2372,0,1,7,1,53,102,72,2022-2023,serie-a
bruno amione,DF,2002,1,1,58,0,0,1,0,0,0,0,2022-2023,serie-a
bruno amione,DF,2002,26,25,2086,1,1,10,1,11,54,9,2022-2023,serie-a
ethan ampadu,"DF,MF",2000,31,31,2639,0,1,10,1,28,125,10,2022-2023,serie-a
sofyan amrabat,MF,1996,29,24,1998,0,1,11,0,36,176,24,2022-2023,serie-a
felipe anderson,FW,1993,38,35,2958,9,2,3,0,83,114,224,2022-2023,serie-a
janis antiste,FW,2002,2,0,52,1,0,0,0,0,1,2,2022-2023,serie-a
marcos antônio,MF,2000,16,6,594,1,1,2,0,1,25,8,2022-2023,serie-a
valentin antov,DF,2000,9,2,306,0,0,2,0,2,14,3,2022-2023,serie-a
marko arnautović,FW,1989,21,18,1530,10,0,5,0,13,36,116,2022-2023,serie-a
tolgay arslan,MF,1990,36,12,1211,1,0,3,0,45,77,37,2022-2023,serie-a
santiago ascacíbar,MF,1997,13,7,727,0,0,1,0,1,41,6,2022-2023,serie-a
kristoffer askildsen,MF,2001,21,7,728,0,0,3,0,10,24,17,2022-2023,serie-a
kristjan asllani,MF,2002,20,5,592,0,0,2,0,6,29,6,2022-2023,serie-a
emil audero,GK,1997,25,25,2250,0,0,1,0,0,0,0,2022-2023,serie-a
tommaso augello,DF,1994,37,35,3061,2,5,3,0,84,119,153,2022-2023,serie-a
carlos augusto,DF,1999,35,35,3083,6,5,4,0,87,101,151,2022-2023,serie-a
kaan ayhan,DF,1994,10,5,545,0,0,1,0,8,15,0,2022-2023,serie-a
jaime báez,DF,1995,2,1,96,0,0,0,0,5,4,8,2022-2023,serie-a
nedim bajrami,"MF,FW",1999,19,8,940,1,1,1,0,22,29,47,2022-2023,serie-a
nedim bajrami,"FW,MF",1999,18,7,819,1,0,0,0,23,44,96,2022-2023,serie-a
tiemoué bakayoko,MF,1994,3,0,41,0,0,0,0,0,2,1,2022-2023,serie-a
tommaso baldanzi,MF,2003,26,24,1772,4,0,2,0,57,69,94,2022-2023,serie-a
fodé ballo-touré,DF,1997,10,5,523,1,0,0,0,11,25,31,2022-2023,serie-a
lameck banda,"FW,MF",2001,36,19,1636,2,1,6,0,86,28,160,2022-2023,serie-a
filippo bandinelli,MF,1995,35,28,2263,2,0,10,0,40,101,89,2022-2023,serie-a
antonín barák,MF,1994,1,0,25,0,0,0,0,0,2,1,2022-2023,serie-a
antonín barák,MF,1994,30,21,1799,2,0,4,0,45,82,93,2022-2023,serie-a
andrea barberis,MF,1993,9,3,338,0,1,0,0,3,14,0,2022-2023,serie-a
tommaso barbieri,DF,2002,3,2,109,0,0,0,0,5,0,4,2022-2023,serie-a
francesco bardi,GK,1992,1,1,90,0,0,0,0,0,0,0,2022-2023,serie-a
nicolò barella,MF,1997,35,31,2613,6,6,6,0,76,214,162,2022-2023,serie-a
enzo barrenechea,MF,2001,3,3,158,0,0,0,0,1,5,2,2022-2023,serie-a
musa barrow,"FW,MF",1998,32,26,1960,3,8,3,0,68,58,141,2022-2023,serie-a
federico baschirotto,DF,1996,37,37,3330,3,0,6,0,12,107,12,2022-2023,serie-a
toma bašić,MF,1996,25,4,513,1,0,2,0,14,22,29,2022-2023,serie-a
alberto basso,MF,2004,1,0,16,0,0,0,0,0,1,2,2022-2023,serie-a
alessandro bastoni,DF,1999,29,26,2157,0,2,3,0,47,141,44,2022-2023,serie-a
simone bastoni,"MF,DF",1996,19,15,1189,2,4,7,0,20,32,65,2022-2023,serie-a
brian bayeye,DF,2000,2,1,64,0,0,0,0,3,3,5,2022-2023,serie-a
rodrigo becão,DF,1996,28,28,2484,2,1,11,1,19,98,48,2022-2023,serie-a
julius beck,MF,2005,1,0,10,0,0,0,0,0,2,0,2022-2023,serie-a
raoul bellanova,DF,2000,18,3,496,0,0,0,0,25,12,37,2022-2023,serie-a
andrea belotti,FW,1993,31,11,1146,0,2,0,0,21,13,94,2022-2023,serie-a
marco benassi,DF,1994,2,1,93,0,0,0,0,0,9,6,2022-2023,serie-a
marco benassi,MF,1994,15,11,998,0,0,1,0,10,27,30,2022-2023,serie-a
ismaël bennacer,MF,1997,28,24,2007,2,2,5,0,30,132,52,2022-2023,serie-a
domenico berardi,FW,1994,26,22,1866,12,7,7,0,57,114,213,2022-2023,serie-a
bartosz bereszyński,DF,1992,15,15,1198,0,0,1,0,20,44,40,2022-2023,serie-a
bartosz bereszyński,DF,1992,3,2,166,0,1,1,0,8,7,7,2022-2023,serie-a
marco bertini,MF,2002,1,0,1,0,0,0,0,0,0,0,2022-2023,serie-a
beto,FW,1998,33,23,2129,10,1,2,0,25,13,121,2022-2023,serie-a
matteo bianchetti,DF,1993,25,22,2132,1,0,5,0,6,47,4,2022-2023,serie-a
alessandro bianco,MF,2002,7,2,153,0,0,1,0,4,9,2,2022-2023,serie-a
jaka bijol,DF,1999,32,32,2728,3,2,10,0,3,66,7,2022-2023,serie-a
cristiano biraghi,DF,1992,33,30,2551,2,4,1,0,69,161,113,2022-2023,serie-a
samuele birindelli,DF,1999,31,14,1400,0,1,8,0,55,43,121,2022-2023,serie-a
kristijan bistrović,MF,1998,11,5,461,0,0,0,0,4,16,8,2022-2023,serie-a
alexis blin,MF,1996,35,26,2376,1,0,8,0,13,101,32,2022-2023,serie-a
