nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,intercepciones,bloqueos,bloqueos_tiro,bloqueos_pase,despejes,errores_defensivos,temporada,liga
max aarons,Bournemouth,1,1,0,100.0,2,2,1,3,1,2,0,0,2024-2025,premier-league
joshua acheampong,Chelsea,2,0,0,100.0,2,1,1,1,0,1,2,0,2024-2025,premier-league
tyler adams,Bournemouth,26,49,8,54.2,83,50,32,33,10,23,42,0,2024-2025,premier-league
tosin adarabioyo,Chelsea,11,6,0,66.7,17,13,11,9,7,2,80,0,2024-2025,premier-league
simon adingra,Brighton,10,8,5,38.5,23,14,8,12,0,12,6,2,2024-2025,premier-league
emmanuel agbadou,Wolves,21,9,0,65.0,30,19,12,19,13,6,90,0,2024-2025,premier-league
asher agbinone,Crystal Palace,0,2,0,,2,1,0,0,0,0,0,0,2024-2025,premier-league
ola aina,Nott'ham Forest,39,15,1,56.3,55,42,33,34,12,22,115,4,2024-2025,premier-league
rayan aït-nouri,Wolves,52,28,9,61.4,89,57,26,42,6,36,75,2,2024-2025,premier-league
kristoffer ajer,Brentford,14,11,1,51.9,26,18,12,17,4,13,50,0,2024-2025,premier-league
manuel akanji,Manchester City,12,4,3,64.7,19,12,9,11,8,3,64,3,2024-2025,premier-league
nathan aké,Manchester City,7,2,0,66.7,9,7,3,7,2,5,22,1,2024-2025,premier-league
carlos alcaraz,Southampton,0,0,0,,0,0,1,0,0,0,0,0,2024-2025,premier-league
carlos alcaraz,Everton,5,3,3,27.3,11,5,5,9,2,7,10,0,2024-2025,premier-league
trent alexander-arnold,Liverpool,44,19,9,46.7,72,50,31,26,9,17,55,4,2024-2025,premier-league
alisson,Liverpool,1,0,0,0.0,1,0,0,0,0,0,13,1,2024-2025,premier-league
miguel almirón,Newcastle Utd,2,0,1,66.7,3,2,0,2,0,2,0,0,2024-2025,premier-league
olabade aluko,Leicester City,0,0,1,100.0,1,1,0,0,0,0,0,0,2024-2025,premier-league
edson álvarez,West Ham,27,15,8,48.6,50,27,18,23,8,15,46,1,2024-2025,premier-league
will alves,Leicester City,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,premier-league
harry amass,Manchester Utd,5,1,0,25.0,6,2,2,11,1,10,11,0,2024-2025,premier-league
samuel amo-ameyaw,Southampton,0,1,0,100.0,1,0,0,0,0,0,0,0,2024-2025,premier-league
mathis amougou,Chelsea,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,premier-league
joachim andersen,Crystal Palace,1,0,0,50.0,1,1,0,0,0,0,7,0,2024-2025,premier-league
joachim andersen,Fulham,20,6,1,62.5,27,18,34,37,28,9,188,1,2024-2025,premier-league
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2024-2025,premier-league
elliot anderson,Nott'ham Forest,54,29,9,43.2,92,56,31,48,9,39,76,4,2024-2025,premier-league
andré,Wolves,41,41,9,58.7,91,55,37,42,8,34,30,1,2024-2025,premier-league
michail antonio,West Ham,0,1,1,66.7,2,2,0,6,0,6,2,0,2024-2025,premier-league
antony,Manchester Utd,4,2,0,40.0,6,3,2,2,0,2,0,0,2024-2025,premier-league
julian araujo,Bournemouth,4,6,0,41.7,10,5,6,3,0,3,18,0,2024-2025,premier-league
cameron archer,Southampton,8,3,2,22.2,13,8,2,5,1,4,11,0,2024-2025,premier-league
alphonse areola,West Ham,2,0,0,66.7,2,2,0,0,0,0,15,3,2024-2025,premier-league
joe aribo,Southampton,17,24,6,48.6,47,33,20,28,11,17,32,3,2024-2025,premier-league
adam armstrong,Southampton,2,7,3,21.4,12,3,3,6,1,5,8,0,2024-2025,premier-league
harrison armstrong,Everton,0,0,0,0.0,0,0,0,0,0,0,1,0,2024-2025,premier-league
kepa arrizabalaga,Bournemouth,1,0,0,0.0,1,0,0,2,0,2,15,3,2024-2025,premier-league
marco asensio,Aston Villa,0,7,0,33.3,7,5,2,7,1,6,3,0,2024-2025,premier-league
brandon austin,Tottenham,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,premier-league
taiwo awoniyi,Nott'ham Forest,0,3,3,80.0,6,3,0,1,0,1,7,0,2024-2025,premier-league
yasin ayari,Brighton,15,31,13,46.4,59,32,20,24,6,18,26,0,2024-2025,premier-league
jordan ayew,Crystal Palace,0,0,1,,1,0,0,0,0,0,0,0,2024-2025,premier-league
jordan ayew,Leicester City,8,14,5,30.4,27,15,12,21,2,19,19,0,2024-2025,premier-league
benoît badiashile,Chelsea,5,4,0,80.0,9,6,6,2,2,0,12,2,2024-2025,premier-league
leon bailey,Aston Villa,2,3,2,27.3,7,5,3,6,0,6,12,0,2024-2025,premier-league
carlos baleba,Brighton,26,37,16,60.0,79,46,46,47,11,36,44,1,2024-2025,premier-league
ross barkley,Aston Villa,4,10,0,64.3,14,3,10,9,3,6,5,0,2024-2025,premier-league
harvey barnes,Newcastle Utd,4,6,6,27.3,16,9,6,8,2,6,15,1,2024-2025,premier-league
calvin bassey,Fulham,35,19,0,71.0,54,34,20,40,17,23,118,8,2024-2025,premier-league
altay bayındır,Manchester Utd,0,0,0,0.0,0,0,0,0,0,0,9,1,2024-2025,premier-league
jan bednarek,Southampton,23,13,0,51.6,36,19,56,47,36,11,190,5,2024-2025,premier-league
player,Squad,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Tkl,TklW,Int,Blocks,Sh,Pass,Clr,Err,2024-2025,premier-league
armel bella kotchap,Southampton,5,2,0,50.0,7,5,5,2,2,0,21,1,2024-2025,premier-league
jean-ricner bellegarde,Wolves,17,19,3,70.0,39,24,10,19,3,16,18,1,2024-2025,premier-league
rodrigo bentancur,Tottenham,19,17,4,47.5,40,22,40,25,8,17,38,1,2024-2025,premier-league
daniel bentley,Wolves,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,premier-league
sander berge,Fulham,23,23,4,69.2,50,30,21,27,8,19,38,1,2024-2025,premier-league
lucas bergvall,Tottenham,14,20,5,53.1,39,19,24,18,8,10,22,3,2024-2025,premier-league
victor bernth kristiansen,Leicester City,56,26,5,53.8,87,51,42,38,15,23,75,3,2024-2025,premier-league
beto,Everton,2,8,4,62.5,14,6,4,12,2,10,24,1,2024-2025,premier-league
philip billing,Bournemouth,7,6,1,75.0,14,5,5,3,0,3,2,0,2024-2025,premier-league
yves bissouma,Tottenham,20,25,4,55.9,49,31,18,11,6,5,40,4,2024-2025,premier-league
oscar bobb,Manchester City,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,premier-league
lamare bogarde,Aston Villa,6,6,2,62.5,14,6,1,5,3,2,13,0,2024-2025,premier-league
willy boly,Nott'ham Forest,5,1,0,100.0,6,1,3,4,2,2,12,0,2024-2025,premier-league
sven botman,Newcastle Utd,6,5,1,77.8,12,9,5,5,4,1,25,1,2024-2025,premier-league
jarrod bowen,West Ham,13,12,16,47.5,41,26,16,22,4,18,25,0,2024-2025,premier-league
